Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Cacciamani,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,5.81,2.9,5.81,,0.0,,0.0,0.0,0.0,0.0,0.0,1.49,49.7,0.09,C
Estévez,C,,0.0,0.0,0.0,0.01,0.11,0.12,0.5,0.18,46.93,0.41,4.11,0.55,0.0,0.0,,-0.1,-0.8,0.41,0.0,0.41,1.49,49.7,0.09,C
Oumar Conde,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,16.78,1.19,4.77,2.98,,0.0,,0.0,0.0,1.19,0.0,1.19,1.55,51.7,0.08,C
Pereiro,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,5.81,5.81,,0.0,,0.0,0.0,0.0,0.0,0.0,1.55,51.7,0.08,C
Ekong,C,,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.0,12.4,3.87,2.42,9.19,0.0,0.0,,-0.1,-0.1,0.48,0.0,0.48,1.57,52.4,0.07,C
Żurkowski,C,,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,21.2,0.85,0.85,2.55,0.0,0.0,,-0.1,0.0,0.0,0.0,0.0,1.57,52.4,0.07,C
Onana,C,,0.0,0.0,0.0,0.0,0.03,0.03,0.22,0.05,33.78,0.3,3.26,1.18,,0.0,,0.0,-0.1,0.3,0.0,0.3,1.63,54.4,0.06,C
Haas,C,,0.0,0.0,0.0,0.0,0.03,0.03,0.2,0.05,28.7,0.63,2.82,0.63,,0.0,,0.0,-0.1,0.31,0.0,0.31,1.69,56.5,0.05,C
Kasa,C,,0.0,0.0,0.0,0.43,0.04,0.47,0.25,0.05,28.75,0.39,2.74,2.74,0.0,0.0,,-1.1,-0.1,0.78,0.0,0.78,1.69,56.5,0.05,C
Adžić,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.14,6.43,,0.0,,0.0,0.0,0.0,0.0,0.0,1.73,57.8,0.04,C
El Azzouzi,C,Bologna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,18.95,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.73,57.8,0.04,C
Bacci,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.33,0.0,2.9,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.86,61.9,0.02,C
Lhassine Kone,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,0.0,5.29,1.76,,0.0,,0.0,0.0,1.76,0.0,1.76,1.86,61.9,0.02,C
Sansone,C,,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,13.0,0.0,1.38,6.92,0.0,0.0,,-0.2,0.0,1.38,0.0,1.38,1.86,61.9,0.02,C
Braunöder,C,,0.0,0.0,0.0,0.03,0.0,0.03,0.38,0.08,33.5,0.67,6.04,0.0,0.0,0.0,,-0.1,0.0,1.34,0.34,1.01,1.88,62.6,0.01,C
Valoti,C,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.25,0.0,2.25,2.16,72.1,0.01,C
Orsolini,A,Bologna,0.72,0.19,0.91,0.48,0.18,0.66,0.77,0.61,62.6,2.92,3.31,8.91,1.19,0.58,1.0,4.9,0.3,0.1,0.0,0.1,0.0,0.0,1.0,S
Thuram,A,Inter,0.55,0.16,0.71,0.39,0.17,0.56,0.84,0.71,71.56,2.44,2.08,6.68,1.41,0.55,,4.1,-0.4,0.04,0.0,0.04,0.02,0.7,0.99,S
Kvaratskhelia,A,,0.38,0.23,0.61,0.31,0.28,0.6,0.88,0.39,69.29,5.65,4.35,6.8,0.98,0.31,1.0,0.9,-0.7,0.08,0.0,0.08,0.04,1.5,0.98,S
Ndoye,A,Bologna,0.34,0.17,0.5,0.29,0.16,0.45,0.87,0.68,71.43,5.54,3.11,9.7,0.86,0.25,1.0,1.0,0.2,0.17,0.0,0.17,0.09,3.0,0.98,S
Kolo Muani,A,,0.62,0.08,0.7,0.36,0.12,0.49,0.81,0.34,72.5,1.63,1.55,7.76,1.49,0.54,1.0,3.3,-0.6,0.0,0.0,0.0,0.11,3.7,0.97,S
Leão,A,,0.31,0.31,0.62,0.29,0.33,0.62,0.74,0.66,68.32,4.77,3.6,10.15,1.05,0.31,,0.4,-0.4,0.19,0.0,0.19,0.11,3.7,0.97,S
Retegui,A,,0.94,0.3,1.25,0.71,0.19,0.9,0.89,0.84,66.19,0.79,1.74,7.52,1.11,0.79,0.8,6.1,3.1,0.11,0.0,0.11,0.13,4.4,0.95,S
Thauvin,A,Udinese,0.37,0.14,0.51,0.37,0.17,0.55,0.96,0.63,78.24,4.23,4.14,6.81,0.86,0.32,0.33,-0.1,-0.8,0.0,0.0,0.0,0.18,5.9,0.95,S
Diao,A,Como,0.58,0.07,0.65,0.29,0.03,0.32,0.93,0.37,83.47,3.59,2.59,8.34,2.0,0.58,,4.0,0.6,0.14,0.0,0.14,0.2,6.7,0.94,S
Lukaku,A,Napoli,0.44,0.32,0.76,0.41,0.12,0.53,0.97,0.92,78.97,0.98,1.14,6.93,0.85,0.35,0.75,1.0,6.1,0.13,0.0,0.13,0.2,6.7,0.94,S
Martínez,A,,0.42,0.11,0.53,0.47,0.15,0.62,1.0,0.82,82.71,1.19,2.39,6.91,0.89,0.42,,-1.5,-1.3,0.04,0.0,0.04,0.22,7.4,0.92,S
Chukwueze,A,Milan,0.29,0.19,0.49,0.26,0.29,0.55,0.35,0.24,35.58,4.67,3.5,11.29,1.11,0.29,,0.3,-1.0,0.0,0.0,0.0,0.24,8.1,0.91,S
Dovbyk,A,Roma,0.45,0.07,0.52,0.44,0.09,0.53,0.84,0.71,75.56,0.89,0.6,6.51,0.84,0.37,1.0,0.1,-0.4,0.0,0.0,0.0,0.24,8.1,0.91,S
Cutrone,A,Como,0.31,0.18,0.48,0.31,0.09,0.4,0.7,0.61,62.03,2.33,1.36,6.81,0.99,0.31,0.0,-0.1,1.9,0.04,0.0,0.04,0.27,8.9,0.9,A
Pulisic,A,Milan,0.4,0.33,0.73,0.44,0.23,0.67,0.85,0.76,72.88,4.39,3.81,6.94,0.67,0.29,0.75,-1.0,2.6,0.04,0.0,0.04,0.27,8.9,0.9,A
Cornet,A,,0.73,0.37,1.1,0.37,0.22,0.59,0.29,0.05,35.14,2.93,1.46,9.51,2.0,0.73,,1.0,0.4,0.0,0.0,0.0,0.29,9.6,0.88,A
Guðmundsson,A,,0.42,0.07,0.49,0.32,0.13,0.45,0.67,0.42,53.04,2.47,2.62,4.17,0.89,0.28,1.0,1.5,-0.8,0.14,0.0,0.14,0.29,9.6,0.88,A
