Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Dodô,D,,0.0,0.14,0.14,0.04,0.12,0.16,1.0,0.92,89.0,4.13,3.7,5.58,0.0,0.0,,-1.4,0.8,0.23,0.0,0.23,0.31,10.3,0.86,A
Dorgu,D,,0.15,0.05,0.2,0.16,0.07,0.23,1.0,0.55,87.62,3.33,2.64,5.72,0.91,0.15,,-0.3,-0.5,0.15,0.05,0.1,0.36,11.9,0.81,A
Dossena,D,Como,0.0,0.1,0.1,0.04,0.03,0.07,0.87,0.53,79.35,0.2,1.78,0.05,0.0,0.0,,-0.8,1.3,0.1,0.05,0.05,0.93,31.0,0.31,C
Dumfries,D,Inter,0.32,0.09,0.41,0.25,0.15,0.4,0.69,0.53,67.41,2.53,2.35,7.96,1.3,0.32,,1.6,-1.2,0.18,0.0,0.18,0.36,11.9,0.81,A
Ebosse,D,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,5.0,0.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.93,64.3,0.02,C
Ebuehi,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,3.65,4.86,3.65,,0.0,,0.0,0.0,0.0,0.0,0.0,1.29,42.9,0.16,C
Ehizibue,D,Udinese,0.0,0.04,0.04,0.04,0.08,0.12,0.91,0.79,75.7,1.95,1.98,4.18,0.0,0.0,,-1.2,-1.2,0.18,0.0,0.18,0.43,14.3,0.73,B
El Shaarawy,D,Roma,0.25,0.33,0.57,0.22,0.1,0.32,0.39,0.32,35.42,3.44,4.02,6.31,1.11,0.25,,0.3,2.8,0.16,0.0,0.16,0.36,11.9,0.81,A
Ellertsson,D,Genoa,0.07,0.07,0.15,0.04,0.06,0.1,0.81,0.76,68.61,1.2,1.31,3.35,1.82,0.07,,0.9,0.4,0.07,0.0,0.07,0.21,7.1,0.94,S
Emerson,D,,0.0,0.0,0.0,0.03,0.05,0.07,0.94,0.42,81.0,1.5,4.44,4.64,0.0,0.0,,-0.4,-0.7,0.33,0.0,0.33,0.69,23.0,0.51,B
Erlic,D,Bologna,0.0,0.0,0.0,0.05,0.0,0.05,0.62,0.13,41.75,1.08,2.96,0.27,0.0,0.0,,-0.2,0.0,0.0,0.0,0.0,0.93,31.0,0.31,C
Faraoni,D,,0.0,0.0,0.0,0.07,0.03,0.1,0.38,0.08,32.5,0.69,1.04,4.5,0.0,0.0,,-0.2,-0.1,0.35,0.0,0.35,1.4,46.8,0.11,C
Frese,D,Verona,0.0,0.0,0.0,0.02,0.03,0.05,0.45,0.13,49.91,1.15,3.11,1.97,0.0,0.0,,-0.1,-0.2,0.0,0.0,0.0,0.88,29.4,0.36,C
Gabbia,D,Milan,0.08,0.0,0.08,0.05,0.01,0.05,0.92,0.63,82.77,0.54,3.09,0.08,1.82,0.08,,0.9,-0.2,0.17,0.0,0.17,0.36,11.9,0.81,A
Gabriel,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.94,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.71,57.1,0.04,C
Gallo,D,Lecce,0.0,0.07,0.07,0.01,0.09,0.1,1.0,0.82,84.16,1.97,3.69,3.79,0.0,0.0,,-0.3,-0.7,0.14,0.03,0.1,0.4,13.5,0.76,A
Gatti,D,Juventus,0.04,0.0,0.04,0.1,0.02,0.12,0.87,0.68,73.17,0.98,2.99,0.25,0.4,0.04,,-1.5,-0.5,0.08,0.0,0.08,0.45,15.1,0.7,B
Gendrey,D,,0.0,0.0,0.0,0.1,0.05,0.15,1.0,0.05,90.0,3.5,2.5,2.0,0.0,0.0,,-0.2,-0.1,0.0,0.0,0.0,0.5,16.7,0.65,B
Ghilardi,D,Roma,0.0,0.0,0.0,0.03,0.01,0.04,0.88,0.55,84.54,0.71,2.53,0.31,0.0,0.0,,-0.6,-0.2,0.35,0.04,0.31,1.17,38.9,0.2,C
Gianetti,D,,0.1,0.0,0.1,0.01,0.01,0.02,0.73,0.29,58.53,0.0,1.95,0.31,10.0,0.1,,0.9,-0.1,0.41,0.0,0.41,1.21,40.5,0.18,C
Gigot,D,Lazio,0.26,0.0,0.26,0.17,0.0,0.17,0.47,0.18,45.53,0.92,1.58,0.66,1.54,0.26,,0.7,0.0,0.26,0.0,0.26,0.93,31.0,0.31,C
Gila,D,Lazio,0.03,0.0,0.03,0.04,0.02,0.06,0.97,0.82,85.66,1.58,5.16,0.39,0.91,0.03,,-0.1,-0.6,0.26,0.0,0.26,0.48,15.9,0.67,B
Goglichidze,D,Udinese,0.0,0.04,0.04,0.01,0.01,0.02,0.88,0.76,76.94,0.43,1.6,0.32,0.0,0.0,,-0.3,0.7,0.14,0.04,0.11,0.86,28.6,0.39,C
Goldaniga,D,Como,0.04,0.0,0.04,0.09,0.01,0.1,0.88,0.74,79.12,0.71,2.88,0.28,0.4,0.04,,-1.5,-0.3,0.46,0.04,0.43,0.88,29.4,0.36,C
Gosens,D,Fiorentina,0.18,0.18,0.36,0.06,0.09,0.15,0.91,0.76,78.78,1.11,3.64,3.25,2.78,0.18,,3.2,2.6,0.21,0.0,0.21,0.14,4.8,0.97,S
Guilbert,D,,0.0,0.04,0.04,0.01,0.07,0.08,1.0,0.82,78.55,1.77,3.25,1.66,0.0,0.0,,-0.3,-0.8,0.18,0.07,0.11,0.62,20.6,0.57,B
