Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Luiz,C,,A,A,A,C,C,C,A,A,A,C,C,B,A,A,A,A,B,C,A
Akpa-Akpro,C,,A,A,A,A,A,A,C,C,C,C,S,B,A,A,B,B,A,C,A
Keita,C,Parma,A,C,B,A,B,A,C,C,C,A,A,S,A,A,B,C,A,S,B
Prati,C,Cagliari,A,A,A,A,C,B,C,B,B,S,B,A,A,A,B,A,C,C,C
Pessina,C,,A,A,A,A,A,S,C,B,C,B,A,B,A,A,B,B,B,C,B
Tidiane Niasse,C,,A,A,A,B,A,A,C,B,C,A,B,B,A,A,B,B,A,C,A
Vignato,C,,A,A,A,B,S,A,A,A,A,B,B,C,A,A,B,C,C,C,C
Pierini,C,Sassuolo,A,A,A,S,C,B,S,S,B,B,S,C,,A,C,B,C,C,C
Camara,C,,A,A,A,C,C,C,A,A,A,C,C,C,A,A,S,A,S,C,S
Kovalenko,C,,A,A,A,C,S,B,S,S,S,B,C,C,A,A,B,C,C,C,C
Baselli,C,,A,A,A,S,S,S,B,A,S,C,C,S,,A,C,C,C,C,C
Cassa,C,,A,A,A,S,S,S,S,S,S,C,C,C,,A,C,C,C,C,C
Gourna-Douath,C,,A,A,A,B,A,A,B,A,B,C,B,C,A,A,B,B,S,C,S
Oudin,C,,A,A,A,A,C,C,A,A,A,A,B,C,A,A,B,A,B,C,B
Črnigoj,C,,A,A,A,B,S,A,A,A,S,C,A,C,A,A,B,C,C,C,C
Bandeira,C,,A,A,A,S,A,S,B,B,B,S,C,A,,A,C,B,B,C,B
Pafundi,C,Udinese,A,A,A,C,C,C,S,S,S,C,S,C,A,A,B,A,C,C,C
Bondo,C,Cremonese,A,A,A,A,A,A,C,C,C,B,A,A,A,A,B,B,A,S,B
Cyprien,C,,A,A,A,C,S,C,S,S,S,C,C,S,A,A,B,C,C,C,C
El Haddad,C,,A,A,A,S,S,S,S,S,S,C,B,C,,A,C,C,C,C,C
Kaba,C,Lecce,A,A,A,B,S,A,A,A,A,A,B,B,A,A,B,C,C,C,C
Gagliardini,C,,A,A,A,S,C,B,S,S,A,C,C,B,,A,C,B,S,C,S
Verdi,C,,A,A,A,C,C,C,S,S,S,C,B,C,A,A,B,B,S,C,S
Cacciamani,C,,A,A,A,S,S,S,S,S,S,C,A,C,,A,C,C,C,C,C
